run_id,kind,script,encoder,mode,input_size,fold,seed,lr,epochs,batch_size,weight_decay,warmup,output,params_from,git_sha
full_224_f4_s1,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,4,1,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f4_s1.npz,filename,
full_224_f0_s2,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,0,2,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f0_s2.npz,filename,
full_224_f1_s2,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,1,2,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f1_s2.npz,filename,
full_224_f2_s2,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,2,2,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f2_s2.npz,filename,
full_224_f3_s2,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,3,2,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f3_s2.npz,filename,
full_224_f4_s2,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,4,2,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f4_s2.npz,filename,
full_224_lr5e-05_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,0,0,5e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr5e-05_f0_s0.npz,filename,
full_224_lr5e-05_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,1,0,5e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr5e-05_f1_s0.npz,filename,
full_224_lr5e-05_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,2,0,5e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr5e-05_f2_s0.npz,filename,
full_224_lr5e-05_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,3,0,5e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr5e-05_f3_s0.npz,filename,
full_224_lr5e-05_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,4,0,5e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr5e-05_f4_s0.npz,filename,
full_384_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,384,0,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_384_f0_s0.npz,config,
full_384_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,384,1,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_384_f1_s0.npz,config,
full_384_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,384,2,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_384_f2_s0.npz,config,
full_384_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,384,3,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_384_f3_s0.npz,config,
full_384_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,384,4,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_384_f4_s0.npz,config,
last4_224_lr3e-05_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,0,0,3e-05,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr3e-05_f0_s0.npz,filename,
last4_224_lr3e-05_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,1,0,3e-05,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr3e-05_f1_s0.npz,filename,
