run_id,kind,script,encoder,mode,input_size,fold,seed,lr,epochs,batch_size,weight_decay,warmup,output,params_from,git_sha
last4_224_lr3e-05_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,2,0,3e-05,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr3e-05_f2_s0.npz,filename,
last4_224_lr3e-05_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,3,0,3e-05,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr3e-05_f3_s0.npz,filename,
last4_224_lr3e-05_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,4,0,3e-05,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr3e-05_f4_s0.npz,filename,
last4_224_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,0,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f0_s0.npz,config,
last4_224_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,1,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f1_s0.npz,config,
last4_224_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,2,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f2_s0.npz,config,
last4_224_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,3,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f3_s0.npz,config,
last4_224_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,4,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f4_s0.npz,config,
last4_224_f0_s1,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,0,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f0_s1.npz,filename,
last4_224_f1_s1,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,1,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f1_s1.npz,filename,
last4_224_f2_s1,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,2,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f2_s1.npz,filename,
last4_224_f3_s1,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,3,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f3_s1.npz,filename,
last4_224_f4_s1,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,4,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f4_s1.npz,filename,
last4_224_f0_s2,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,0,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f0_s2.npz,filename,
last4_224_f1_s2,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,1,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f1_s2.npz,filename,
last4_224_f2_s2,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,2,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f2_s2.npz,filename,
last4_224_f3_s2,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,3,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f3_s2.npz,filename,
last4_224_f4_s2,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,4,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_224_f4_s2.npz,filename,
last4_224_lr0.0003_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,0,0,0.0003,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr0.0003_f0_s0.npz,filename,
last4_224_lr0.0003_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,1,0,0.0003,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr0.0003_f1_s0.npz,filename,
last4_224_lr0.0003_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,2,0,0.0003,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr0.0003_f2_s0.npz,filename,
last4_224_lr0.0003_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,3,0,0.0003,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr0.0003_f3_s0.npz,filename,
last4_224_lr0.0003_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,224,4,0,0.0003,20,32,0.05,2,data/amdsd_preds/preds_last4_224_lr0.0003_f4_s0.npz,filename,
last4_448_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,448,0,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_448_f0_s0.npz,filename,
last4_448_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,448,1,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_448_f1_s0.npz,filename,
last4_448_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,448,2,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_448_f2_s0.npz,filename,
last4_448_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,448,3,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_448_f3_s0.npz,filename,
last4_448_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,last4,448,4,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_last4_448_f4_s0.npz,filename,
lp_224_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,0,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f0_s0.npz,config,
lp_224_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,1,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f1_s0.npz,config,
lp_224_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,2,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f2_s0.npz,config,
lp_224_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,3,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f3_s0.npz,config,
lp_224_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,4,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f4_s0.npz,config,
lp_224_f0_s1,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,0,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f0_s1.npz,filename,
lp_224_f1_s1,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,1,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f1_s1.npz,filename,
lp_224_f2_s1,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,2,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f2_s1.npz,filename,
lp_224_f3_s1,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,3,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f3_s1.npz,filename,
lp_224_f4_s1,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,4,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f4_s1.npz,filename,
lp_224_f0_s2,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,0,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f0_s2.npz,filename,
lp_224_f1_s2,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,1,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f1_s2.npz,filename,
lp_224_f2_s2,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,2,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f2_s2.npz,filename,
lp_224_f3_s2,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,3,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f3_s2.npz,filename,
lp_224_f4_s2,finetune,scripts/finetune/train_amdsd.py,retfound,lp,224,4,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_lp_224_f4_s2.npz,filename,
sup_in21k_last4_224_f0_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,0,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f0_s0.npz,filename,
sup_in21k_last4_224_f1_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,1,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f1_s0.npz,filename,
sup_in21k_last4_224_f2_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,2,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f2_s0.npz,filename,
sup_in21k_last4_224_f3_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,3,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f3_s0.npz,filename,
sup_in21k_last4_224_f4_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,4,0,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f4_s0.npz,filename,
sup_in21k_last4_224_f0_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,0,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f0_s1.npz,filename,
sup_in21k_last4_224_f1_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,1,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f1_s1.npz,filename,
sup_in21k_last4_224_f2_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,2,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f2_s1.npz,filename,
sup_in21k_last4_224_f3_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,3,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f3_s1.npz,filename,
sup_in21k_last4_224_f4_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,4,1,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f4_s1.npz,filename,
sup_in21k_last4_224_f0_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,0,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f0_s2.npz,filename,
sup_in21k_last4_224_f1_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,1,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f1_s2.npz,filename,
sup_in21k_last4_224_f2_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,2,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f2_s2.npz,filename,
sup_in21k_last4_224_f3_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,3,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f3_s2.npz,filename,
sup_in21k_last4_224_f4_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,last4,224,4,2,0.0001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_last4_224_f4_s2.npz,filename,
sup_in21k_lp_224_f0_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,0,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f0_s0.npz,filename,
sup_in21k_lp_224_f1_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,1,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f1_s0.npz,filename,
sup_in21k_lp_224_f2_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,2,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f2_s0.npz,filename,
sup_in21k_lp_224_f3_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,3,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f3_s0.npz,filename,
sup_in21k_lp_224_f4_s0,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,4,0,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f4_s0.npz,filename,
sup_in21k_lp_224_f0_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,0,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f0_s1.npz,filename,
sup_in21k_lp_224_f1_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,1,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f1_s1.npz,filename,
sup_in21k_lp_224_f2_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,2,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f2_s1.npz,filename,
sup_in21k_lp_224_f3_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,3,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f3_s1.npz,filename,
sup_in21k_lp_224_f4_s1,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,4,1,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f4_s1.npz,filename,
sup_in21k_lp_224_f0_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,0,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f0_s2.npz,filename,
sup_in21k_lp_224_f1_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,1,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f1_s2.npz,filename,
sup_in21k_lp_224_f2_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,2,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f2_s2.npz,filename,
sup_in21k_lp_224_f3_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,3,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f3_s2.npz,filename,
sup_in21k_lp_224_f4_s2,finetune,scripts/finetune/train_amdsd.py,sup_in21k,lp,224,4,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_sup_in21k_lp_224_f4_s2.npz,filename,
