depth,cls,attn,mean,delta,lo,hi,p,seeds,p_holm,sig
frozen,IRF,0.8067425443346076,0.7071402587099167,0.09960228562469087,0.024446745276153217,0.16976490611428718,0.004399120175964807,3 v 1,0.026394721055788842,**
frozen,SRF,0.9837413779665105,0.9705839120982626,0.013157465868247953,0.0018087516593695509,0.03984445791199156,0.011597680463907219,3 v 1,0.046390721855628876,**
frozen,PED,0.9629386977797365,0.9194035688441279,0.043535128935608625,0.008464606137584383,0.11244027799371112,0.00599880023995201,3 v 1,0.029994001199760048,**
last-4,IRF,0.7857390385831694,0.7906341980612468,-0.004895159478077393,-0.01952205045518158,0.022702976556390052,0.6186762647470506,1 v 1,0.6186762647470506,
last-4,SRF,0.9825429694087374,0.9845604767820557,-0.0020175073733182947,-0.00662007703878387,0.0004161854253934497,0.11117776444711058,1 v 1,0.25674865026994603,
last-4,PED,0.9633856582069209,0.9595376013195611,0.0038480568873597853,-0.00040730183223191825,0.011588677591624557,0.08558288342331534,1 v 1,0.25674865026994603,
