pool,cls,oof_auprc
mean,IRF,0.758725664682731
mean,SRF,0.9392669719811876
mean,PED,0.9065501994004752
mean+mlp,IRF,0.7037434078020143
mean+mlp,SRF,0.9387333905487707
mean+mlp,PED,0.9111926699693045
attn,IRF,0.8113496007518205
attn,SRF,0.9623319721144319
attn,PED,0.9501991599753352
