cls,n_attn,attn,l4_118,delta,lo,hi,p,holm
IRF,15,0.6261238973991183,0.7838460728995996,-0.1577221755004813,-0.3031197858589583,-0.017103188323106772,0.027994401119776045,0.13997200559888023
IRF,30,0.7670946126456912,0.7838460728995996,-0.01675146025390839,-0.10449602509316808,0.023119842212922886,0.46910617876424715,0.9382123575284943
IRF,60,0.8157079481142633,0.7838460728995996,0.03186187521466366,-0.0017109548951455052,0.08096052660672397,0.0655868826234753,0.2623475304939012
SRF,15,0.9076482688386429,0.9841094378564575,-0.07646116901781463,-0.12737196286658195,-0.0378830462999975,0.0003999200159968006,0.0035992801439712055
SRF,30,0.9830815806032827,0.9841094378564575,-0.0010278572531748909,-0.008943356252090851,0.004877730913776466,0.6910617876424715,0.9382123575284943
SRF,60,0.986153347856856,0.9841094378564575,0.0020439100003984967,-0.0014811202920355093,0.007707629168455328,0.2887422515496901,0.8662267546490703
PED,15,0.8405900494780688,0.9635954350960146,-0.12300538561794583,-0.21378495288273364,-0.05652414564748059,0.0003999200159968006,0.0035992801439712055
PED,30,0.8991216771312801,0.9635954350960146,-0.06447375796473453,-0.11159071808922655,-0.02796331955830687,0.0003999200159968006,0.0035992801439712055
PED,60,0.9244183070807027,0.9635954350960146,-0.039177128015311924,-0.09514746621010914,-0.007752708975335209,0.0003999200159968006,0.0035992801439712055
