cls,threshold,specificity,recall_subpatch,recall_all,n_subpatch,n_positive,youden_threshold
IRF,0.002,0.12111801242236025,1.0,1.0,79,118,0.16
IRF,0.004,0.2484472049689441,0.9746835443037974,0.9830508474576272,79,118,0.16
IRF,0.006,0.33229813664596275,0.9620253164556962,0.9745762711864406,79,118,0.16
IRF,0.008,0.4254658385093168,0.9367088607594937,0.9576271186440678,79,118,0.16
IRF,0.01,0.4720496894409938,0.9113924050632911,0.940677966101695,79,118,0.16
IRF,0.012,0.4968944099378882,0.8987341772151899,0.9322033898305084,79,118,0.16
IRF,0.014,0.5248447204968945,0.8987341772151899,0.9322033898305084,79,118,0.16
IRF,0.016,0.5372670807453416,0.8860759493670886,0.923728813559322,79,118,0.16
IRF,0.018000000000000002,0.562111801242236,0.8860759493670886,0.923728813559322,79,118,0.16
IRF,0.020000000000000004,0.577639751552795,0.8860759493670886,0.923728813559322,79,118,0.16
IRF,0.022,0.5838509316770186,0.8860759493670886,0.923728813559322,79,118,0.16
IRF,0.024,0.6055900621118012,0.8734177215189873,0.9152542372881356,79,118,0.16
IRF,0.026000000000000002,0.6118012422360248,0.8734177215189873,0.9152542372881356,79,118,0.16
IRF,0.028000000000000004,0.6273291925465838,0.8734177215189873,0.9152542372881356,79,118,0.16
IRF,0.03,0.6428571428571429,0.8734177215189873,0.9152542372881356,79,118,0.16
IRF,0.032,0.6490683229813664,0.8734177215189873,0.9067796610169492,79,118,0.16
IRF,0.034,0.6583850931677019,0.8734177215189873,0.9067796610169492,79,118,0.16
IRF,0.036000000000000004,0.6645962732919255,0.8734177215189873,0.9067796610169492,79,118,0.16
IRF,0.038000000000000006,0.6677018633540373,0.8734177215189873,0.9067796610169492,79,118,0.16
IRF,0.04,0.6770186335403726,0.8607594936708861,0.8983050847457628,79,118,0.16
IRF,0.042,0.6801242236024845,0.8607594936708861,0.8983050847457628,79,118,0.16
IRF,0.044000000000000004,0.6832298136645962,0.8481012658227848,0.8898305084745762,79,118,0.16
IRF,0.046,0.7018633540372671,0.8481012658227848,0.8898305084745762,79,118,0.16
IRF,0.048,0.717391304347826,0.8481012658227848,0.8898305084745762,79,118,0.16
IRF,0.05,0.7236024844720497,0.8481012658227848,0.8898305084745762,79,118,0.16
IRF,0.052000000000000005,0.7267080745341615,0.8481012658227848,0.8898305084745762,79,118,0.16
IRF,0.054000000000000006,0.7267080745341615,0.8481012658227848,0.8898305084745762,79,118,0.16
IRF,0.056,0.7298136645962733,0.8481012658227848,0.8898305084745762,79,118,0.16
IRF,0.058,0.7391304347826086,0.8481012658227848,0.8898305084745762,79,118,0.16
IRF,0.060000000000000005,0.7422360248447205,0.8227848101265823,0.8728813559322034,79,118,0.16
IRF,0.062,0.7484472049689441,0.8227848101265823,0.8728813559322034,79,118,0.16
IRF,0.064,0.7546583850931677,0.8227848101265823,0.8728813559322034,79,118,0.16
IRF,0.066,0.7546583850931677,0.8227848101265823,0.8728813559322034,79,118,0.16
IRF,0.068,0.7608695652173914,0.810126582278481,0.864406779661017,79,118,0.16
IRF,0.07,0.7732919254658385,0.810126582278481,0.8559322033898306,79,118,0.16
IRF,0.07200000000000001,0.7763975155279503,0.810126582278481,0.8559322033898306,79,118,0.16
IRF,0.07400000000000001,0.782608695652174,0.810126582278481,0.8559322033898306,79,118,0.16
IRF,0.076,0.7857142857142857,0.7974683544303798,0.847457627118644,79,118,0.16
IRF,0.078,0.7919254658385093,0.7974683544303798,0.847457627118644,79,118,0.16
IRF,0.08,0.7950310559006211,0.7974683544303798,0.847457627118644,79,118,0.16
IRF,0.082,0.7981366459627329,0.759493670886076,0.8220338983050848,79,118,0.16
IRF,0.084,0.8043478260869565,0.759493670886076,0.8220338983050848,79,118,0.16
IRF,0.08600000000000001,0.8074534161490683,0.759493670886076,0.8220338983050848,79,118,0.16
IRF,0.08800000000000001,0.8105590062111802,0.7468354430379747,0.8135593220338984,79,118,0.16
IRF,0.09,0.8167701863354038,0.7468354430379747,0.8135593220338984,79,118,0.16
IRF,0.092,0.8198757763975155,0.7341772151898734,0.8050847457627118,79,118,0.16
IRF,0.094,0.8229813664596274,0.7341772151898734,0.8050847457627118,79,118,0.16
IRF,0.096,0.8229813664596274,0.7341772151898734,0.8050847457627118,79,118,0.16
IRF,0.098,0.8260869565217391,0.7215189873417721,0.7966101694915254,79,118,0.16
IRF,0.1,0.8260869565217391,0.7215189873417721,0.7966101694915254,79,118,0.16
IRF,0.10200000000000001,0.8291925465838509,0.7215189873417721,0.7966101694915254,79,118,0.16
IRF,0.10400000000000001,0.8322981366459627,0.7215189873417721,0.7966101694915254,79,118,0.16
IRF,0.10600000000000001,0.8322981366459627,0.7215189873417721,0.7966101694915254,79,118,0.16
IRF,0.108,0.8385093167701864,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.11,0.84472049689441,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.112,0.8509316770186336,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.114,0.8540372670807453,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.116,0.8571428571428571,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.11800000000000001,0.860248447204969,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.12000000000000001,0.860248447204969,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.122,0.860248447204969,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.124,0.8664596273291926,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.126,0.8695652173913043,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.128,0.8726708074534162,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.13,0.8726708074534162,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.132,0.8757763975155279,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.134,0.8757763975155279,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.136,0.8757763975155279,0.6962025316455697,0.7796610169491526,79,118,0.16
IRF,0.138,0.8788819875776398,0.6835443037974683,0.7711864406779662,79,118,0.16
IRF,0.14,0.8819875776397516,0.6835443037974683,0.7711864406779662,79,118,0.16
IRF,0.14200000000000002,0.8850931677018633,0.6835443037974683,0.7711864406779662,79,118,0.16
IRF,0.14400000000000002,0.8850931677018633,0.6835443037974683,0.7711864406779662,79,118,0.16
IRF,0.14600000000000002,0.8881987577639752,0.6835443037974683,0.7711864406779662,79,118,0.16
IRF,0.148,0.8881987577639752,0.6835443037974683,0.7711864406779662,79,118,0.16
IRF,0.15,0.8881987577639752,0.6835443037974683,0.7711864406779662,79,118,0.16
IRF,0.152,0.8975155279503105,0.6835443037974683,0.7711864406779662,79,118,0.16
IRF,0.154,0.8975155279503105,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.156,0.8975155279503105,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.158,0.9006211180124224,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.16,0.9006211180124224,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.162,0.9006211180124224,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.164,0.9006211180124224,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.166,0.9006211180124224,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.168,0.9006211180124224,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.17,0.9006211180124224,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.17200000000000001,0.9006211180124224,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.17400000000000002,0.9037267080745341,0.6708860759493671,0.7627118644067796,79,118,0.16
IRF,0.17600000000000002,0.9037267080745341,0.6582278481012658,0.7542372881355932,79,118,0.16
IRF,0.178,0.9037267080745341,0.6582278481012658,0.7542372881355932,79,118,0.16
IRF,0.18,0.9037267080745341,0.6582278481012658,0.7542372881355932,79,118,0.16
IRF,0.182,0.9037267080745341,0.6329113924050633,0.7372881355932204,79,118,0.16
IRF,0.184,0.9037267080745341,0.6329113924050633,0.7372881355932204,79,118,0.16
IRF,0.186,0.9037267080745341,0.6329113924050633,0.7372881355932204,79,118,0.16
IRF,0.188,0.9037267080745341,0.6329113924050633,0.7372881355932204,79,118,0.16
IRF,0.19,0.906832298136646,0.6329113924050633,0.7372881355932204,79,118,0.16
IRF,0.192,0.906832298136646,0.6329113924050633,0.7372881355932204,79,118,0.16
IRF,0.194,0.906832298136646,0.6329113924050633,0.7372881355932204,79,118,0.16
IRF,0.196,0.906832298136646,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.198,0.906832298136646,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.2,0.906832298136646,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.202,0.9099378881987578,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.20400000000000001,0.9099378881987578,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.20600000000000002,0.9099378881987578,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.20800000000000002,0.9099378881987578,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.21000000000000002,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.212,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.214,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.216,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.218,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.22,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.222,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.224,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.226,0.9161490683229814,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.228,0.9192546583850931,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.23,0.9192546583850931,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.232,0.9192546583850931,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.234,0.9192546583850931,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.23600000000000002,0.9192546583850931,0.620253164556962,0.7288135593220338,79,118,0.16
IRF,0.23800000000000002,0.9192546583850931,0.6075949367088608,0.7203389830508474,79,118,0.16
IRF,0.24000000000000002,0.9192546583850931,0.6075949367088608,0.7203389830508474,79,118,0.16
IRF,0.242,0.9192546583850931,0.6075949367088608,0.7203389830508474,79,118,0.16
IRF,0.244,0.9192546583850931,0.6075949367088608,0.7203389830508474,79,118,0.16
IRF,0.246,0.9192546583850931,0.5949367088607594,0.711864406779661,79,118,0.16
IRF,0.248,0.9192546583850931,0.5949367088607594,0.711864406779661,79,118,0.16
IRF,0.25,0.9192546583850931,0.5949367088607594,0.711864406779661,79,118,0.16
IRF,0.252,0.9192546583850931,0.5949367088607594,0.711864406779661,79,118,0.16
IRF,0.254,0.9192546583850931,0.5949367088607594,0.711864406779661,79,118,0.16
IRF,0.256,0.9254658385093167,0.5949367088607594,0.711864406779661,79,118,0.16
IRF,0.258,0.9254658385093167,0.5822784810126582,0.7033898305084746,79,118,0.16
IRF,0.26,0.9254658385093167,0.5822784810126582,0.7033898305084746,79,118,0.16
IRF,0.262,0.9254658385093167,0.5822784810126582,0.7033898305084746,79,118,0.16
IRF,0.264,0.9254658385093167,0.5822784810126582,0.7033898305084746,79,118,0.16
IRF,0.266,0.9254658385093167,0.5822784810126582,0.7033898305084746,79,118,0.16
IRF,0.268,0.9254658385093167,0.5822784810126582,0.7033898305084746,79,118,0.16
IRF,0.27,0.9285714285714286,0.5822784810126582,0.7033898305084746,79,118,0.16
IRF,0.272,0.9285714285714286,0.5822784810126582,0.7033898305084746,79,118,0.16
IRF,0.274,0.9285714285714286,0.569620253164557,0.6949152542372882,79,118,0.16
IRF,0.276,0.9285714285714286,0.5569620253164557,0.6864406779661016,79,118,0.16
IRF,0.278,0.9285714285714286,0.5569620253164557,0.6864406779661016,79,118,0.16
IRF,0.28,0.9285714285714286,0.5569620253164557,0.6864406779661016,79,118,0.16
IRF,0.28200000000000003,0.9285714285714286,0.5569620253164557,0.6864406779661016,79,118,0.16
IRF,0.28400000000000003,0.9285714285714286,0.5569620253164557,0.6864406779661016,79,118,0.16
IRF,0.28600000000000003,0.9285714285714286,0.5569620253164557,0.6864406779661016,79,118,0.16
IRF,0.28800000000000003,0.9285714285714286,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.29000000000000004,0.9285714285714286,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.292,0.9285714285714286,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.294,0.9285714285714286,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.296,0.9285714285714286,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.298,0.9285714285714286,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.3,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.302,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.304,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.306,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.308,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.31,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.312,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.314,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.316,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.318,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.32,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.322,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.324,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.326,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.328,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.33,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.332,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.334,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.336,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.338,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.34,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.342,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.34400000000000003,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.34600000000000003,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.34800000000000003,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.35000000000000003,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.35200000000000004,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.354,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.356,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.358,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.36,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.362,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.364,0.9316770186335404,0.5443037974683544,0.6779661016949152,79,118,0.16
IRF,0.366,0.9316770186335404,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.368,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.37,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.372,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.374,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.376,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.378,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.38,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.382,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.384,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.386,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.388,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.39,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.392,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.394,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.396,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.398,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.4,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.402,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.404,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.406,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.40800000000000003,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.41000000000000003,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.41200000000000003,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.41400000000000003,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.41600000000000004,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.41800000000000004,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.42,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.422,0.9347826086956522,0.5189873417721519,0.6610169491525424,79,118,0.16
IRF,0.424,0.9347826086956522,0.5063291139240507,0.652542372881356,79,118,0.16
IRF,0.426,0.9347826086956522,0.5063291139240507,0.652542372881356,79,118,0.16
IRF,0.428,0.9347826086956522,0.5063291139240507,0.652542372881356,79,118,0.16
IRF,0.43,0.9347826086956522,0.5063291139240507,0.652542372881356,79,118,0.16
IRF,0.432,0.9347826086956522,0.5063291139240507,0.652542372881356,79,118,0.16
IRF,0.434,0.9347826086956522,0.5063291139240507,0.652542372881356,79,118,0.16
IRF,0.436,0.9347826086956522,0.5063291139240507,0.652542372881356,79,118,0.16
IRF,0.438,0.9347826086956522,0.5063291139240507,0.652542372881356,79,118,0.16
IRF,0.44,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.442,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.444,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.446,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.448,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.45,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.452,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.454,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.456,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.458,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.46,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.462,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.464,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
IRF,0.466,0.9347826086956522,0.4936708860759494,0.6440677966101694,79,118,0.16
