arm,pool,n_patients,seed,cls,n_train_scans,auprc,auroc,recall,spec,thr,L,lr,wd,epochs
frozen_attn,attn,60,1,SRF,1298,0.9885696964962295,0.9722163358526996,0.8686868686868687,0.972027972027972,0.9600000000000001,32,0.003,0.001,108
frozen_attn,attn,60,1,PED,1298,0.9356944606214133,0.866095238095238,0.8933333333333333,0.5928571428571429,0.93,32,0.003,0.001,59
frozen_mean,mean,60,1,IRF,1298,0.621536824270954,0.7980840088430361,0.7457627118644068,0.6956521739130435,0.12000000000000001,64,0.001,0.001,10
frozen_mean,mean,60,1,SRF,1298,0.9802812124337253,0.95279131642768,0.6801346801346801,0.993006993006993,0.9,32,0.003,0.001,108
frozen_mean,mean,60,1,PED,1298,0.9111964807457978,0.8151428571428572,0.67,0.7785714285714286,0.87,32,0.003,0.001,59
frozen_attn,attn,60,2,IRF,1286,0.8045099656861421,0.8901726497526056,0.6271186440677966,0.9565217391304348,0.08,64,0.001,0.001,10
frozen_attn,attn,60,2,SRF,1286,0.9865650471751289,0.9683077864896047,0.8619528619528619,0.9790209790209791,0.81,32,0.003,0.001,108
frozen_attn,attn,60,2,PED,1286,0.8881595654065693,0.8083809523809525,0.87,0.5571428571428572,0.92,32,0.003,0.001,59
frozen_mean,mean,60,2,IRF,1286,0.7161288915740002,0.8403779345194232,0.6271186440677966,0.8881987577639752,0.26,64,0.001,0.001,10
frozen_mean,mean,60,2,SRF,1286,0.9693684370814806,0.9219467401285583,0.8013468013468014,0.958041958041958,0.67,32,0.003,0.001,108
frozen_mean,mean,60,2,PED,1286,0.8692771629294062,0.774595238095238,0.9266666666666666,0.32142857142857145,0.36000000000000004,32,0.003,0.001,59
frozen_attn,attn,118,0,IRF,2609,0.8109076818767865,0.8919886303821455,0.711864406779661,0.9440993788819876,0.02,64,0.001,0.001,5
frozen_attn,attn,118,0,SRF,2609,0.9848690346045927,0.9618092345365074,0.8686868686868687,0.9790209790209791,0.8200000000000001,32,0.003,0.001,55
frozen_attn,attn,118,0,PED,2609,0.962417590308613,0.922547619047619,0.9033333333333333,0.7642857142857142,0.91,32,0.003,0.001,30
frozen_mean,mean,118,0,IRF,2609,0.7071402587099167,0.838219812611854,0.5677966101694916,0.9099378881987578,0.4,64,0.001,0.001,5
frozen_mean,mean,118,0,SRF,2609,0.9705839120982626,0.9302112029384757,0.7373737373737373,0.9790209790209791,0.77,32,0.003,0.001,55
frozen_mean,mean,118,0,PED,2609,0.919387023524617,0.8250238095238094,0.7866666666666666,0.6214285714285714,0.78,32,0.003,0.001,30
frozen_attn,attn,118,1,IRF,2609,0.8015032709720173,0.8881198020844299,0.7033898305084746,0.9440993788819876,0.03,64,0.001,0.001,5
frozen_attn,attn,118,1,SRF,2609,0.9838699754138134,0.957735866826776,0.8720538720538721,0.9790209790209791,0.8400000000000001,32,0.003,0.001,55
frozen_attn,attn,118,1,PED,2609,0.9677098281122016,0.9333571428571429,0.92,0.7714285714285715,0.91,32,0.003,0.001,30
frozen_mean,mean,118,1,IRF,2609,0.7071402587099167,0.838219812611854,0.5677966101694916,0.9099378881987578,0.4,64,0.001,0.001,5
frozen_mean,mean,118,1,SRF,2609,0.9705839120982626,0.9302112029384757,0.7373737373737373,0.9790209790209791,0.77,32,0.003,0.001,55
frozen_mean,mean,118,1,PED,2609,0.919387023524617,0.8250238095238094,0.7866666666666666,0.6214285714285714,0.78,32,0.003,0.001,30
frozen_attn,attn,118,2,IRF,2609,0.8060359356902383,0.8874618380882198,0.6949152542372882,0.9440993788819876,0.03,64,0.001,0.001,5
