name,n,r224,r448,delta,lo,hi,only224,only448,mcnemar,cls
crossers,55,0.8,0.7272727272727273,-0.07272727272727275,-0.20512820512820512,0.04109589041095896,6,2,0.2890625,IRF
sub at both,24,0.375,0.4166666666666667,0.041666666666666685,0.0,0.125,0,1,1.0,IRF
above at both,39,0.9487179487179487,0.9487179487179487,0.0,0.0,0.0,0,0,,IRF
crossers,56,0.6785714285714286,0.6071428571428571,-0.07142857142857151,-0.24391598915989166,0.06666666666666665,7,3,0.34375,SRF
sub at both,32,0.1875,0.375,0.1875,0.06666666666666665,0.2962962962962963,1,7,0.0703125,SRF
above at both,209,0.9617224880382775,0.9569377990430622,-0.004784688995215336,-0.05303787878787874,0.03792376244359275,4,3,1.0,SRF
crossers,83,0.6626506024096386,0.6144578313253012,-0.048192771084337394,-0.18478260869565216,0.10145541635961672,12,8,0.5034446716308594,PED
sub at both,36,0.4444444444444444,0.3611111111111111,-0.08333333333333331,-0.2727272727272727,0.2069324712643673,6,3,0.5078125,PED
above at both,181,0.9392265193370166,0.9116022099447514,-0.027624309392265234,-0.08275862068965512,0.03296703296703296,10,5,0.30175781249999994,PED
