cls,oof_attn,test_attn,test_mean,delta,lo,hi,p,baseline_C,L,lr,wd,epochs
IRF,0.8186315256844363,0.8305117414774171,0.6991687562722407,0.1313429852051764,0.0519574223260736,0.2012242476072087,0.0015996800639872025,0.1,64,0.001,0.001,5
SRF,0.9426971356535943,0.9795069425478785,0.9673483900190635,0.012158552528815036,-0.0036119252137408074,0.04059127070251986,0.1251749650069986,0.1,32,0.003,0.001,55
PED,0.9361097929361614,0.9526049733727753,0.9018779610514476,0.0507270123213277,0.010887903424819337,0.1287164509224618,0.003199360127974405,0.1,32,0.003,0.001,30
