contrast,cls,delta,lo,hi,p,mlp_hidden,mlp_params
attention - mean,IRF,0.09960228562469087,0.024446745276153217,0.16976490611428718,0.004399120175964807,65,66691
attention - mean,SRF,0.013157465868247953,0.0018087516593695509,0.03984445791199156,0.011597680463907219,65,66691
attention - mean,PED,0.043535128935608625,0.008464606137584383,0.11244027799371112,0.00599880023995201,65,66691
attention - matched MLP,IRF,0.1079685162026387,0.014055282015508135,0.1896596932521234,0.022395520895820836,65,66691
attention - matched MLP,SRF,0.008895579966160971,-0.00022924193830961556,0.026988185911357744,0.0595880823835233,65,66691
attention - matched MLP,PED,0.03560772361258513,-0.008284087685051992,0.11581236140304604,0.14477104579084182,65,66691
matched MLP - mean,IRF,-0.00836623057794783,-0.05565056698997871,0.04612010482177885,0.8086382723455309,65,66691
matched MLP - mean,SRF,0.0042618859020869815,-0.006197335053534758,0.023074876765610913,0.5062987402519497,65,66691
matched MLP - mean,PED,0.007927405323023495,-0.02558274389733802,0.04258473707207226,0.5610877824435113,65,66691
