cls,bin,lo_edge,n,n_pat,rec_attn,sd_attn,rec_mean,delta,lo,hi,p,p_holm,sig
IRF,0.03-0.08,0.03,36,25,0.1851851851851852,0.05782405554072591,0.25,-0.0648148148148148,-0.23234848484848483,0.1111111111111111,0.4939012197560488,1.0,
IRF,0.08-0.22,0.08048087385839177,89,42,0.44569288389513106,0.03611854217600358,0.449438202247191,-0.0037453183520599342,-0.12048192771084337,0.13096495640509706,0.9570085982803439,1.0,
IRF,0.22-0.58,0.21590570190034555,125,37,0.5573333333333333,0.05326662494783513,0.544,0.013333333333333308,-0.09524988213107025,0.14851574831396183,0.8694261147770446,1.0,
IRF,0.58-1.55,0.5792093186649747,147,32,0.8390022675736962,0.03142042281304083,0.7210884353741497,0.11791383219954654,0.005677513774104627,0.27777777777777773,0.03519296140771846,0.5278944211157769,*
IRF,1.55-4.17,1.5538424037693628,143,21,0.8671328671328671,0.006993006993007034,0.8531468531468531,0.013986013986013957,-0.006873444720938476,0.039218730970649054,0.2803439312137572,1.0,
IRF,4.17-11.18,4.168486483119412,59,7,0.9378531073446328,0.009785597782875051,0.9322033898305084,0.005649717514124353,-0.04040404040404044,0.052631578947368474,0.958,1.0,
SRF,0.03-0.08,0.03,26,17,0.282051282051282,0.022205779584216392,0.19230769230769232,0.08974358974358967,-0.15153679653679655,0.28787878787878785,0.4311137772445511,1.0,
SRF,0.08-0.22,0.08048087385839177,83,36,0.5823293172690763,0.03032062022197087,0.3132530120481928,0.26907630522088355,0.12427632831841551,0.3935199129852744,0.0003999200159968006,0.007998400319936013,**
SRF,0.22-0.58,0.21590570190034555,216,53,0.7808641975308642,0.014882177100297796,0.6018518518518519,0.17901234567901236,0.08763555187333143,0.27655775075987843,0.0003999200159968006,0.007998400319936013,**
SRF,0.58-1.55,0.5792093186649747,381,61,0.9168853893263341,0.0030307100744861766,0.8530183727034121,0.06386701662292205,-0.004191989616494336,0.13557895454235658,0.0655868826234753,0.8526294741051789,
SRF,1.55-4.17,1.5538424037693628,435,50,0.98544061302682,0.007023104513342289,0.9632183908045977,0.022222222222222254,-0.0025349346663835703,0.05956126998856985,0.1267746450709858,1.0,
SRF,4.17-11.18,4.168486483119412,293,35,0.9988623435722411,0.001970478734435612,0.9692832764505119,0.029579067121729197,-0.002207505518763808,0.08303128872366787,0.26914617076584685,1.0,
SRF,11.18-30.00,11.182781160944812,52,8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
PED,0.03-0.08,0.03,35,18,0.28571428571428575,0.08571428571428572,0.45714285714285713,-0.17142857142857137,-0.34091577540106954,0.11904761904761904,0.22275544891021795,1.0,
PED,0.08-0.22,0.08048087385839177,104,47,0.4551282051282051,0.05551444896054097,0.3269230769230769,0.1282051282051282,-0.017921836228287844,0.2681992337164751,0.08638272345530894,1.0,
PED,0.22-0.58,0.21590570190034555,278,80,0.6894484412470024,0.02045410324847959,0.5107913669064749,0.17865707434052758,0.07581770726011403,0.28189279972439124,0.0007998400319936012,0.01279744051189762,**
PED,0.58-1.55,0.5792093186649747,466,90,0.8276108726752504,0.018748701605266344,0.6909871244635193,0.13662374821173107,0.06221035434403396,0.21272607942091046,0.0003999200159968006,0.007998400319936013,**
PED,1.55-4.17,1.5538424037693628,468,72,0.9487179487179488,0.01825641825922548,0.8717948717948718,0.07692307692307698,0.03213591606501618,0.12884651179515164,0.0003999200159968006,0.007998400319936013,**
PED,4.17-11.18,4.168486483119412,337,38,0.9752720079129574,0.007467689846954283,0.9080118694362018,0.0672601384767556,0.0012970168612191912,0.14203417835056398,0.041191761647670466,0.5766846630673865,*
PED,11.18-30.00,11.182781160944812,93,12,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
